YEAR,AMOUNT,City,Pac
2018,9946.88,Carlsbad,Police
2018,9946.88,Carlsbad,Police
2018,19989.79,Carlsbad,Police
2018,2488.24,Carlsbad,Police
2018,2488.24,Carlsbad,Police
2018,2486.72,Carlsbad,Police
2018,2486.72,Carlsbad,Police
2020,8884.62,Carlsbad,Police
2020,9931.85,Carlsbad,Police
2016,10000,Chula Vista,Police
2016,4955.5,Chula Vista,Police
2016,14956,Chula Vista,Police
2016,500,Chula Vista,Police
2016,3641,Chula Vista,Police
2018,4778.47,Chula Vista,Police
2018,4692,Chula Vista,Police
2018,906.24,Chula Vista,Police
2018,1150,Chula Vista,Police
2018,2350,Chula Vista,Police
2018,2389.24,Chula Vista,Police
2020,1649.5,Chula Vista,Police
2020,5845.35,Chula Vista,Police
2020,2854.41,Chula Vista,Police
2022,5000,Chula Vista,Police
2022,17312,Chula Vista,Police
2022,4169.95,Chula Vista,Police
2022,4076,Chula Vista,Police
2022,5500,Chula Vista,Police
2022,4000,Chula Vista,Police
2022,19000,Chula Vista,Police
2022,2300,Chula Vista,Police
2022,5100,La Mesa,Police
2022,5100,La Mesa,Police
2022,5100,La Mesa,Police
2022,6982.58,Oceanside,Police
2022,13964.81,Oceanside,Police
2016,326.55,San Diego,Police
2016,748.45,San Diego,Police
2016,1088.9,San Diego,Police
2016,2506.1,San Diego,Police
2016,1193,San Diego,Police
2016,405.08,San Diego,Police
2016,279.06,San Diego,Police
2016,5000,San Diego,Police
2016,5463.78,San Diego,Police
2016,10000,San Diego,Police
2016,6291.06,San Diego,Police
2016,968,San Diego,Police
2016,4300,San Diego,Police
2016,5640,San Diego,Police
2016,15000,San Diego,Police
2016,1089,San Diego,Police
2016,482,San Diego,Police
2016,558.12,San Diego,Police
2016,1350,San Diego,Police
2016,405,San Diego,Police
2016,2211,San Diego,Police
2016,2125,San Diego,Police
2016,2878,San Diego,Police
2016,3287.5,San Diego,Police
2016,7500,San Diego,Police
2016,9862.5,San Diego,Police
2016,300,San Diego,Police
2016,700,San Diego,Police
2016,700,San Diego,Police
2016,748.45,San Diego,Police
2016,326.55,San Diego,Police
2016,5000,San Diego,Police
2016,3138.15,San Diego,Police
2016,5621.85,San Diego,Police
2016,4759.8,San Diego,Police
2016,9915.48,San Diego,Police
2016,3053.5,San Diego,Police
2016,1326.5,San Diego,Police
2016,1950,San Diego,Police
2016,1050,San Diego,Police
2016,1450,San Diego,Police
2016,6312,San Diego,Police
2016,13150,San Diego,Police
2016,13567.76,San Diego,Police
2018,3721,San Diego,Police
2018,3763.98,San Diego,Police
2018,500,San Diego,Police
2018,5275,San Diego,Police
2018,2725,San Diego,Police
2018,3886.5,San Diego,Police
2018,477.6,San Diego,Police
2018,1800.36,San Diego,Police
2018,483.65,San Diego,Police
2018,602.24,San Diego,Police
2018,3000,San Diego,Police
2018,1316.84,San Diego,Police
2018,477.6,San Diego,Police
2018,450.09,San Diego,Police
2018,483.65,San Diego,Police
2018,602.24,San Diego,Police
2018,4836.48,San Diego,Police
2018,500,San Diego,Police
2018,1910.37,San Diego,Police
2018,4500.91,San Diego,Police
2018,1934.59,San Diego,Police
2018,1355.01,San Diego,Police
2018,3000,San Diego,Police
2018,7496.66,San Diego,Police
2018,7502.69,San Diego,Police
2018,2893,San Diego,Police
2018,2135,San Diego,Police
2018,477.6,San Diego,Police
2018,450.09,San Diego,Police
2018,483.65,San Diego,Police
2018,602.24,San Diego,Police
2018,3934.61,San Diego,Police
2018,955.18,San Diego,Police
2018,1350.28,San Diego,Police
2018,967.3,San Diego,Police
2018,6699.01,San Diego,Police
2018,3723.46,San Diego,Police
2018,3854.42,San Diego,Police
2018,4775.95,San Diego,Police
2018,500,San Diego,Police
2018,477.6,San Diego,Police
2018,450.09,San Diego,Police
2018,483.65,San Diego,Police
2018,602.24,San Diego,Police
2018,7502.69,San Diego,Police
2018,385.44,San Diego,Police
2018,193.46,San Diego,Police
2018,372.09,San Diego,Police
2018,131.68,San Diego,Police
2018,776.32,San Diego,Police
2018,1934.74,San Diego,Police
2018,3723.46,San Diego,Police
2018,3723.46,San Diego,Police
2018,7496.66,San Diego,Police
2020,2279.75,San Diego,Police
2020,22022.88,San Diego,Police
2020,18425.79,San Diego,Police
2020,12134.21,San Diego,Police
2020,24132.67,San Diego,Police
2020,20178.51,San Diego,Police
2020,3419.62,San Diego,Police
2020,1292.1,San Diego,Police
2020,10327.19,San Diego,Police
2020,23595.34,San Diego,Police
2020,19738.85,San Diego,Police
2020,5699.37,San Diego,Police
2020,250,San Diego,Police
2020,16072.56,San Diego,Police
2020,1292.1,San Diego,Police
2020,1440.5,San Diego,Police
2020,1110,San Diego,Police
2020,13084.19,San Diego,Police
2020,2584.21,San Diego,Police
2022,11500,San Diego,Police
2022,6000,San Diego,Police
2022,1500,San Diego,Police
2022,575,San Diego,Police
2022,7567.93,San Diego,Police
2022,1775,San Diego,Police
2022,7495.34,San Diego,Police
2022,7173.34,San Diego,Police
2023,23287.5,San Diego,Police
2023,11250,San Diego,Police
2023,40764.5,San Diego,Police
2023,29287.5,San Diego,Police
2023,11250,San Diego,Police
2023,11250,San Diego,Police
2023,24265.28,San Diego,Police
2024,1641.96,San Diego,Police
2024,1413.71,San Diego,Police
2024,224.22,San Diego,Police
2024,198.45,San Diego,Police
2024,4181.5,San Diego,Police
2024,200.86,San Diego,Police
2024,2438.47,San Diego,Police
2024,91.9,San Diego,Police
2024,4241.13,San Diego,Police
2024,198.45,San Diego,Police
2024,4925.87,San Diego,Police
2024,224.22,San Diego,Police
2024,1641.96,San Diego,Police
2024,1413.71,San Diego,Police
2024,224.22,San Diego,Police
2024,198.45,San Diego,Police
2024,1393.83,San Diego,Police
2024,200.86,San Diego,Police
2024,812.82,San Diego,Police
2024,91.9,San Diego,Police
2024,1393.83,San Diego,Police
2024,200.86,San Diego,Police
2024,812.82,San Diego,Police
2024,91.9,San Diego,Police
2024,9602.75,San Diego,Police
2024,238.82,San Diego,Police
2024,91.97,San Diego,Police
2024,200.86,San Diego,Police
2024,1500,San Diego,Police
2024,5246.18,San Diego,Police
2024,8461.21,San Diego,Police
2024,1393.83,San Diego,Police
2024,200.86,San Diego,Police
2024,812.82,San Diego,Police
2024,91.9,San Diego,Police
2024,1641.95,San Diego,Police
2024,1413.7,San Diego,Police
2024,224.22,San Diego,Police
2024,198.45,San Diego,Police
