Department, Position
Administrative Services, City Attorney
City Attorney, Assistant City Attorney
City Attorney, City Attorney
City Attorney, Deputy City Attorney
City Attorney, Secretary To City Attorney
City Attorney, Asst City Attorney
City Attorney, Deputy City Attorney II
City Attorney, Deputy City Attorney III
City Attorney, Dep City Attorney
City Attorney, Sr Assistant City Attorney
City Attorney, City Attorney Investigator
City Attorney, Deputy City Attorney - Unrep
City Attorney, Senior City Attorney Investigator
City Attorney, City Attorney (Elected)
City Attorney, City Attorney - p/t
City Attorney, Confidential Secretary to City Attorney
City Attorney, Deputy City Attorney - Unrepresented
City Attorney, Principal Assistant to City Attorney
City Attorney, Principal City Attorney Investigator
City Attorney, Senior City Attorney Investigator (Environmental Protection Investigator)
City Attorney, Senior Assistant City Attorney
City Attorney, Assistant City Attorney/Litigation
City Attorney, Executive Assistant-City Attorney
City Attorney, Senior Deputy City Attorney
City Attorney, City Attorney - Part Time
City Attorney, Deputy City Attorney I
City Attorney, Supervising Deputy City Attorney
City Attorney, Deputy City Attorney - Unrepresentative
City Attorney, Senior City Attorney Investigator (Env Prot Investigator)
City Attorney, Ex Assist To City Attorney
City Attorney, Sr Deputy City Attorney
City Attorney, City Attorney-P/T
City Attorney, Conf Secretary to City Attorney
City Attorney, Sr City Attorney Investigator
City Attorney, Sr City Attorney Investigator(Env Prot Investigator)
City Attorney, Assistant City Attorney Uf
City Attorney, Sr Asst City Attorney
City Attorney, Sr. Deputy City Attorney
City Attorney, Sr. Assistant City Attorney
City Attorney, Deputy City Attorney - UF
City Attorney, Executive Assistant to the City Attorney
City Attorney, Assistant City Attorney - Uf
City Attorney, Deputy City Attorney - Uf
City Attorney, Police Sergeant
City Attorney, Dep City Attorney I
City Attorney, Dep City Attorney II
City Attorney, Conf Secretary To City Attorney
City Attorney, Principal Assistant To City Attorney
City Attorney, Senior City Attorney Investigator(Env Protection Investigator)
City Attorney, Executive Assistant To City Attorney
City Attorney, Principal Asst To City Attorney
City Attorney, Senior City Attorney Investigator(Env Prot Investigator)
City Attorney, Confidential Secretary To City Attorney
City Attorney, City Attorney Investigator II
City Attorney, City Attorney Investigator Trainee
City Clerk, City Attorney
City Clerk, Executive Assistant To City Attorney
City Manager, Chief Of Police
Fire Admin, Fire Chief
Fire Emergency Operations, Fire Battalion  Chief
Fire Emergency Operations, Fire Captain
Fire Emergency Operations, Fire Division Chief
Fire Emergency Operations, Fire Engineer
Fire Emergency Operations, Paramedic Firefighter
Fire Prevention, Fire Marshal
Fire Prevention, Fire Prevention Specialist II
Fire Prevention, Hourly/Fire Sworn
Fire Prevention, Fire Captain-40 hr
Fire Prevention, Fire Inspector
Fire Prevention, Fire Inspector Supervisor
Fire Prevention, Senior Fire Inspector
Fire Prevention, Deputy Fire Marshal
Fire Prevention, Deputy Fire Marshall
Fire Prevention, H/Fire Sworn
Fire Prevention, Fire Inspector/Safety
Fire Prevention, Fire Prevention Technician
Fire Prevention, Assistant Fire Marshal
Fire Prevention, Fire Permit Technician II
Fire Prevention, Fire Prevention Spec I - Uf
Fire Prevention, Assistant Fire Marshall
Fire Prevention, Fire Prevention Specialist I
Fire Prevention, Fire Division Chief
Fire Prevention, Deputy Fire Marshal I
Fire Prevention, Deputy Fire Marshal II
Fire Prevention, Senior Deputy Fire Marshal
Fire Prevention, Senior Fire Inspector/Investigator
Fire Support Services, Fire Battalion  Chief
Fire Support Services, Fire Division Chief
Fire Support Services, Fire Battalion Chief - Scott Tucker
Human Resources, Fire Chief
Pol Communications, Police Communications Manager
Pol Communications, Police Reserve Officer
Pol Investigations, Police Corporal
Pol Investigations, Police Lieutenant
Pol Investigations, Police Officer
Pol Investigations, Police Sergeant
Pol Investigations, Police Captain
Pol Professional Standards, Police Sergeant
Pol Professional Standards, Police Training Coordinator
Pol Professional Standards, Police Corporal
Pol Professional Standards, Police Lieutenant
Pol Records, Police Corporal
Pol Records, Police Records Specialist II
Pol Traffic-Comm Svcs, Police Corporal
Pol Traffic-Comm Svcs, Police Lieutenant
Pol Traffic-Comm Svcs, Police Officer
Pol Traffic-Comm Svcs, Police Sergeant
Police Admin, Police Captain
Police Admin, Police Chief
Police Admin, Assistant Police Chief
Police Patrol, Police Captain
Police Patrol, Police Corporal
Police Patrol, Police Lieutenant
Police Patrol, Police Officer
Police Patrol, Police Reserve Officer
Police Patrol, Police Sergeant
Police Patrol, Police Recruit
Police Patrol, Police Services Officer I
Rec Preschool, Hourly/Preschool Instructor
Amer. Recovery & Reinvest. Act, Police Agent
Amer. Recovery & Reinvest. Act, Police Comm Relations Spec
Amer. Recovery & Reinvest. Act, Deputy City Attorney II
Central Garage Fund, Fire Apparatus Mech
Central Garage Fund, Fire Apparatus Mechanic
Federal Grants Fund, Fire Battalion Chief (80 Hr)
Fire, Deputy Fire Chief
Fire, Fire Battalion Chief (112 Hr)
Fire, Fire Battalion Chief (80 Hr)
Fire, Fire Captain (112 Hr)
Fire, Fire Captain (80 Hr)
Fire, Fire Chief
Fire, Fire Eng (112 Hr)
Fire, Fire Eng (80 Hr)
Fire, Fire Inspector II
Fire, Fire Inspector II (Hrly)
Fire, Fire Prevention Engineer
Fire, Firefighter (112 Hr)
Fire, Firefighter (80 Hr)
Fire, Sr Fire Inspector
Fire, Fire Captain
Fire, Fire Engineer
Fire, Firefighter
Fire, Firefighter/Paramedic
Fire, Student Firefighter/Paramedic
Fire, Fire Battalion Chief
Fire, Fire Division Chief
Fire, Paramedic/Firefighter
Fire, Contract Deputy Fire Marshal I
Fire, Deputy Fire Marshal II
Fire, Fire Deputy Chief
Fire, Fire Marshal
Fire, Firefighter I
Fire, Firefighter/Paramedic I
Fire, Firefighter/Paramedic III
Fire, Probationary Firefighter/Paramedic
Fire, Senior Deputy Fire Marshal
Fire, Dep Fire Marshall
Fire, Fire & Disaster Education Spec
Fire, Fire Admin Services Manager
Fire, Fire Prevention Specialist
Fire, Fire Engineer w/ PM Bonus
Fire, Firefighter w/ PM Bonus
Fire, Fire Prevention/Public Education Specialist
Fire, Fire Captain (w/ FLSA)
Fire, Fire Engineer (w/ FLSA)
Fire, Fire Inspector
Fire, Fire Prevention Technician
Fire, Firefighter/Paramedic (w/ FLSA)
Fire, Engineer/Firefighter
Fire, Fire Captain - Shift
Fire, Fire Captain I
Fire, Fire Captain Shift
Fire, Fire Inspector Ii (Hrly)
Fire, Deputy Fire Marshal I
Fire, Fire Engineer-Paramedic
Fire, Firefighter-Paramedic
Fire, Fire Prevention Public Education
Fire, Temporary Firefighter
Fire, Fire Insp/Invest II
Fire, Fire Insp/Invest II Hourly
Fire, Fire Prev Eng/Invest
Fire, Senior Fire Insp/Invest
Fire, Deputy Fire Marshall
Fire, Fire Prevention Battalion Chief
Fire, Firefighter/Paramedic II
Fire, Dep Fire Marshal
Fire, Fire Prevention/Public Education
Fire, Firefighter/ Paramedic
Fire, Fire Battalion Chief (40 Hour)
Fire, Fire Battalion Chief (56 Hour)
Fire, Fire Captain (40 Hour)
Fire, Fire Captain (56 Hour)
Fire, Fire Engineer (56 Hour)
Fire, Fire Safety Specialist
Fire, Firefighter Paramedic (56 Hour)
